Frequency,Cases
0.000000000000000000e+00,1.461187214611872287e+00
0.000000000000000000e+00,1.248097412480974278e+00
0.000000000000000000e+00,1.522070015220700068e+00
0.000000000000000000e+00,1.248097412480974278e+00
0.000000000000000000e+00,1.430745814307458286e+00
0.000000000000000000e+00,1.126331811263318272e+00
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.522070015220700068e+00
0.000000000000000000e+00,1.674277016742770297e+00
0.000000000000000000e+00,1.126331811263318272e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.065449010654490047e+00
0.000000000000000000e+00,8.828006088280061503e-01
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,1.491628614916286066e+00
0.000000000000000000e+00,1.461187214611872287e+00
0.000000000000000000e+00,1.217656012176560276e+00
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.674277016742770297e+00
0.000000000000000000e+00,1.065449010654490047e+00
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,1.126331811263318272e+00
0.000000000000000000e+00,1.735159817351598077e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.308980213089802058e+00
0.000000000000000000e+00,1.308980213089802058e+00
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.461187214611872287e+00
0.000000000000000000e+00,1.004566210045662045e+00
0.000000000000000000e+00,1.704718417047184076e+00
0.000000000000000000e+00,1.126331811263318272e+00
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,1.765601217656012301e+00
0.000000000000000000e+00,1.035007610350076046e+00
0.000000000000000000e+00,7.305936073059361435e-01
0.000000000000000000e+00,1.369863013698630061e+00
0.000000000000000000e+00,1.704718417047184076e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.643835616438356295e+00
0.000000000000000000e+00,9.741248097412480433e-01
0.000000000000000000e+00,1.065449010654490047e+00
0.000000000000000000e+00,6.088280060882801381e-01
0.000000000000000000e+00,1.126331811263318272e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.004566210045662045e+00
0.000000000000000000e+00,8.219178082191781476e-01
0.000000000000000000e+00,1.369863013698630061e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,9.132420091324200406e-01
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,9.132420091324200406e-01
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,9.132420091324200406e-01
0.000000000000000000e+00,1.461187214611872287e+00
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.491628614916286066e+00
0.000000000000000000e+00,1.004566210045662045e+00
0.000000000000000000e+00,1.369863013698630061e+00
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.735159817351598077e+00
0.000000000000000000e+00,1.156773211567732051e+00
0.000000000000000000e+00,1.582952815829528070e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.187214611872146053e+00
0.000000000000000000e+00,1.552511415525114291e+00
0.000000000000000000e+00,1.491628614916286066e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.643835616438356295e+00
0.000000000000000000e+00,1.065449010654490047e+00
0.000000000000000000e+00,1.308980213089802058e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,1.582952815829528070e+00
0.000000000000000000e+00,1.461187214611872287e+00
0.000000000000000000e+00,1.552511415525114291e+00
0.000000000000000000e+00,1.248097412480974278e+00
0.000000000000000000e+00,9.436834094368341530e-01
0.000000000000000000e+00,1.308980213089802058e+00
0.000000000000000000e+00,1.613394216133942072e+00
0.000000000000000000e+00,1.278538812785388057e+00
0.000000000000000000e+00,7.610350076103500339e-01
0.000000000000000000e+00,1.095890410958904049e+00
0.000000000000000000e+00,1.339421613394216282e+00
0.000000000000000000e+00,1.308980213089802058e+00
